"road_indx","pdi_min","pdi_max","pdi_lower_95","pdi_upper_95","pdi_median"
"1",39.9380893772366,39.9380893772366,39.9380893772366,68.6106814948699,39.9380893772366
"2",214.574795054647,214.574795054647,471.869972203466,482.035571646708,473.808603737137
"3",52.604263471981,52.604263471981,52.604263471981,52.8657731035095,52.604263471981
"4",144.007100705116,144.007100705116,144.007100705116,163.65262937454,158.259739151561
"5",147.926538707409,147.926538707409,148.018346941315,172.255720692249,150.956210426276
"6",111.460409226685,111.460409226685,111.460409226685,134.021318511687,124.180921908654
"7",248.909329984604,248.909329984604,307.290326542744,318.427297779419,312.319926234866
"8",14.1038800987061,14.1038800987061,15.272022503372,15.7392794652383,15.272022503372
"9",26.7410471894507,26.7410471894507,42.7427576687127,362.384659979141,358.346845185309
"10",25.6120844949056,25.6120844949056,27.5660718051992,49.8216442863837,49.8216442863837
"11",29.691918115263,29.691918115263,29.691918115263,36.3924745854734,35.8009353781806
"12",402.911017914855,402.911017914855,402.911017914855,402.911017914855,402.911017914855
"13",117.826950478062,117.826950478062,171.446872187668,245.847242931792,232.200731325518
"14",34.8063898316,34.8063898316,34.8063898316,34.8063898316,34.8063898316
"15",65.3029704834174,65.3029704834174,65.3029704834174,65.3029704834174,65.3029704834174
"16",214.610249042742,214.610249042742,214.610249042742,229.57226947813,223.085239639011
"17",87.4247466528609,87.4247466528609,87.4247466528609,105.855300044174,87.4247466528609
"18",100.235843118726,100.235843118726,100.235843118726,100.235843118726,100.235843118726
"19",181.988637110791,181.988637110791,182.674396570644,199.681231174994,195.772402253833
"20",562.000233891367,562.000233891367,562.964924029739,622.936494298519,563.045314874603
"21",935.102159540494,935.102159540494,967.91780602965,1012.50140757819,992.05185185863
"22",107.285616829759,107.285616829759,107.285616829759,107.285616829759,107.285616829759
"23",954.723269169625,954.723269169625,954.723269169625,1018.71258821232,984.423006377355
"24",0.543336713851544,0.543336713851544,0.543336713851544,3.33751533186212,0.543336713851544
"25",3.37525632083469,3.37525632083469,3.80971278465226,32.4838393966119,4.52453716317328
"26",100.923902074467,100.923902074467,101.196016171459,110.01251291401,104.080425599578
"27",5.60389391262308,5.60389391262308,5.74878277852043,148.929913616026,100.481681603608
"28",235.221321396575,235.221321396575,244.839590634016,261.724247839607,244.839590634016
"29",328.040914381086,328.040914381086,328.316354470531,328.316354470531,328.316354470531
"30",1.14098786451076,1.14098786451076,1.14098786451076,18.4559774431213,6.67926066884156
"31",5.43236538141009,5.43236538141009,13.4504432212285,14.1240486766062,14.1240486766062
"32",232.085143963753,232.085143963753,270.109811400785,292.515314193884,289.03859824323
"33",189.521281116006,189.521281116006,189.521281116006,196.717868691997,196.717868691997
"34",20.9292506246256,20.9292506246256,20.9292506246256,20.9292506246256,20.9292506246256
"35",116.004438217855,116.004438217855,116.627285880507,116.627285880507,116.627285880507
"36",97.4991399106246,97.4991399106246,97.4991399106246,143.066048743193,120.421800769371
"37",164.284207488376,164.284207488376,164.284207488376,166.948126259825,166.196764555057
"38",4.49696595782511,4.49696595782511,4.49696595782511,24.2402352136344,9.93491710000981
"39",25.3034742560672,25.3034742560672,26.777492204619,26.900327033665,26.777492204619
"40",66.2539969331949,66.2539969331949,66.2539969331949,66.3253140186948,66.2539969331949
"41",238.743484876462,238.743484876462,239.433881484989,253.842688771704,247.620012700377
"42",44.4125173259355,44.4125173259355,44.4125173259355,44.4125173259355,44.4125173259355
"43",74.448064870368,74.448064870368,80.0760171971476,102.085330760804,90.1259320663969
"44",208.049146980455,208.049146980455,208.049146980455,230.93402658342,213.134675781114
"45",3.05691371120195,3.05691371120195,7.30331108372716,16.8577051719089,16.8577051719089
"46",42.8676354595556,42.8676354595556,42.8676354595556,262.792223930127,250.340571159914
"47",323.373675110722,323.373675110722,323.373675110722,334.61970509602,334.110170334801
"48",249.357240667798,249.357240667798,249.357240667798,254.92128936138,254.92128936138
"49",141.063380486235,141.063380486235,143.615211046479,201.942766709191,194.651822251352
"50",0.0774819549626326,0.0774819549626326,7.6529665053046,7.6529665053046,7.6529665053046
"51",1.55223534001324,1.55223534001324,5.51823738987959,14.6498245907408,13.1074904602372
"52",612.520303708579,612.520303708579,612.520303708579,634.4836458794,634.352128860413
"53",78.8102480736959,78.8102480736959,81.8123754703612,267.94427406361,87.1102473468294
"54",34.5542297560647,34.5542297560647,34.5542297560647,34.5542297560647,34.5542297560647
"55",17.9888541952701,17.9888541952701,63.7026255026325,63.7026255026325,63.7026255026325
"56",176.777599364879,176.777599364879,176.777599364879,177.450495861048,177.001898196935
"57",31.9714315913219,31.9714315913219,31.9714315913219,31.9714315913219,31.9714315913219
"58",3.73629253916948,3.73629253916948,3.73629253916948,59.3040504934637,7.88239153589151
"59",24.3518420273358,24.3518420273358,24.3518420273358,24.3518420273358,24.3518420273358
"60",2.05124127374493,2.05124127374493,2.05124127374493,31.4627849035678,16.6870563234815
"61",8.31468210190875,8.31468210190875,8.31468210190875,8.31468210190875,8.31468210190875
"62",303.396034839214,303.396034839214,313.02691513613,313.02691513613,313.02691513613
