"road_indx","lower_95","upper_95","median","mean","min"
"1",0.0790849972078266,3.34528829516449,1.74364028677534,1.78408353185483,0.0186551476348339
"2",0.183030069106329,18.2479855662178,6.87731698403326,7.66530232068194,1.37129277288928e-06
"3",0.199269428054039,22.8891308444568,7.18445115898256,8.5215066200882,0.0347521591552603
"4",10.654547130399,16.1791284290879,13.058193641601,13.0999401851131,10.589505006149
"5",3.91280895581963,7.86038369038184,5.78691053032008,5.79988333694686,3.86666512782801
"6",0.122941600534865,5.72041091128456,2.85406291692303,2.89260905202812,1.37129277288928e-06
"7",0.183030069106329,18.1092289286184,6.84138577373968,7.60644794634557,1.37129277288928e-06
"8",0.199269428054039,18.7106769638959,7.03114722015944,7.93860731328114,0.0347521591552603
"9",6.93155392726111,42.7975037568173,10.8388120206055,19.3550804850841,6.85741295900919
"10",0.199269428054039,21.1471891034129,7.15669349291769,8.33274746800373,0.0347521591552603
"11",6.11409213668226,12.3839267468895,8.86410365218543,8.98976212237321,6.03123869351451
"12",1.93046213320574,2.47078845110297,2.19821527497689,2.19450216655075,1.91445086640129
"13",0.183030069106329,22.8891308444568,7.18445115898256,8.49166808496086,1.37129277288928e-06
"14",0.0733748052664819,3.09349157176525,1.58047547438623,1.61375198256536,0.0186551476348339
"15",0.0375526855654689,1.70700900690369,0.896850697562941,0.926906215720169,1.37129277288928e-06
"16",12.7103917196231,14.4364540146108,13.540697094321,13.5783556189127,12.6849749824625
"17",2.85522163594591,5.84111652060899,4.2094665042414,4.29634729538093,2.78444287041127
"18",0.183030069106329,18.6445451915055,6.93808387828882,7.80681240449908,1.37129277288928e-06
"19",10.6826091270077,22.1037255793772,14.4312767984306,15.0881202564219,10.6162835863198
"20",31.215807660308,39.6727692475107,32.990168443779,33.7376605296358,31.1905827267222
"21",0.183030069106329,9.62622895782861,4.73735351806537,5.33070150230681,0.0347521591552603
"22",2.42915111869279,3.16364853875825,2.80762670687474,2.7929661761661,2.41510567664925
"23",1.68367315099064,12.5885718048181,3.0095394120005,4.94892693169159,1.65522798414964
"24",12.3816917442404,26.8783587798202,16.2253097046223,17.328969846365,12.1495302517887
"25",2.69129171876706,18.6147800523442,8.16098734130961,9.04539652113239,2.33772603918762
"26",16.9227048209234,22.7425440910483,19.3008759525087,19.4807656964262,16.7876005660366
"27",0.199269428054039,18.2479855662178,6.87731698403326,7.68314649430437,0.0347521591552603
"28",0.183030069106329,21.1471891034129,7.14826472436573,8.28188895180035,1.37129277288928e-06
"29",16.013603374357,18.1953744775508,16.9524589143181,17.0327592671391,15.9655677889744
"30",6.49564062647119,9.5191202130998,7.94216594793921,7.94944406612816,6.39959360311459
"31",28.1289575873983,37.1855855496515,30.3683936251444,30.9753478076627,28.0748156080333
"32",0.162079256190619,6.87003438319372,3.41055455692881,3.51579385301642,1.37129277288928e-06
"33",1.37712384816398,9.0543250586023,4.86375201843323,4.98424751496525,1.26873877637012
"34",1.76562754943624,2.05310625910852,1.91412299215343,1.90936960681424,1.755927052164
"35",21.3324344236855,21.7544471382676,21.5136576710252,21.526949023534,21.3270721951485
"36",4.2113614690598,6.33515358693383,5.25302577142113,5.27117177217705,4.19318104584555
"37",2.76766155587271,4.57571080721145,3.64111615053438,3.67058020176642,2.72196985689817
"38",0.902428235235929,9.0543250586023,4.78435999760291,4.80012681635283,0.852427543379164
"39",0.0477636926707031,1.96728582619947,1.13510194958171,1.05440336086412,1.37129277288928e-06
"40",3.02346379282143,4.09510607943575,3.52184561204347,3.54309799171333,2.99400710785234
"41",28.7444803710863,37.9892992800258,30.7670635401661,31.5019073474032,28.6311234797831
"42",0.0426151127357896,1.47857316345066,0.769036740645958,0.778469940807927,0.00495851109173762
"43",16.7740744724198,29.9688592588329,20.1062706124336,20.8427952182059,16.6747457774855
"44",0.183030069106329,7.62056829200543,3.82897407931605,3.84617066051356,0.0347521591552603
"45",0.183030069106329,7.13816519912238,3.56779976331702,3.66429722441576,0.0347521591552603
"46",0.226174805509199,42.7975037568173,11.7292707020995,18.2150988996919,1.37129277288928e-06
"47",22.1783438125133,33.5669694492553,24.4422943091931,25.3863601517745,22.0628891524199
"48",0.111696774214365,4.2034636407121,2.02131157843261,2.12713356330156,0.0186551476348339
"49",0.199269428054039,14.8367570811676,6.03185800729703,6.56406003638087,0.0347521591552603
"50",0.199269428054039,19.5566745135732,7.12949495213176,8.15735963818986,0.0347521591552603
"51",29.2842654042642,42.7975037568173,30.6345044984301,32.5985268498944,29.2634355634194
"52",16.9186303213525,20.240542802256,18.2118149876151,18.4014468297401,16.8333157996185
"53",5.05303783584749,42.7975037568173,35.6898580617513,27.9688686028102,4.90877572745022
"54",3.06138059111739,3.59175424100059,3.31969509255545,3.32472431776567,3.043289304846
"55",0.0134232762649709,0.511213148330731,0.24671786507468,0.251665820554292,1.37129277288928e-06
"56",29.1027253853386,31.2466618934095,29.9850222509431,30.030855249787,29.0784872362087
"57",6.54717573293687,7.28185125754564,6.8835897676377,6.89547705877525,6.5304517733246
"58",1.43833255641812,7.13816519912238,4.80888417130908,4.34278252246175,1.37490001312907
"59",0.199269428054039,11.0643154482438,5.19622860614697,5.37114155875655,0.0347521591552603
"60",11.0676676035432,26.5081387949954,15.5074253635007,16.4837927192564,10.9550158184962
"61",0.0134232762649709,0.591291050798974,0.26416267788302,0.285836115396347,1.37129277288928e-06
"62",0.0733748052664819,3.34152382880568,1.68023387732373,1.75233110590733,1.37129277288928e-06
